plant,axis,metamer,organ,element,STAR,SLN,width
1,MS,9,Internode,enclosed,0.0016,2.688,0.018
1,MS,9,Lamina,exposed,0.0191,0.791228,0.018
1,MS,9,Sheath,exposed,0.0032,1.054703,0.018
1,MS,10,Internode,enclosed,0.0048,2.26,0.018
1,MS,10,Lamina,exposed,0.0621,1.15,0.018
1,MS,10,Sheath,exposed,0.0111,1.96,0.018
1,MS,11,Internode,enclosed,0.0016,1.596103,0.018
1,MS,11,Internode,exposed,0.0207,1.584906,0.018
1,MS,11,Lamina,exposed,0.261,1.89711,0.018
1,MS,11,Sheath,exposed,0.0652,4.446667,0.018
1,MS,12,Peduncle,enclosed,0.0127,1.773585,0.018
1,MS,12,Peduncle,exposed,0.1321,1.768919,0.018
1,MS,13,Chaff,exposed,0.3023,6.746667,0.018
