plant,axis,metamer,organ,element,width,height,PARa,nitrates,amino_acids,proteins,Nstruct,green_area
1,MS,10,blade,LeafElement1,0.014,0.28,31.6332,0.000212232,0.257794406,78.76720866,0.000471,0.00228
1,MS,10,internode,HiddenElement,0.003,0.11,0,0.021856738,0.015627987,44.49496716,0.000259,0.00025
1,MS,10,sheath,StemElement,0.003,0.22,8.34765,0.00068316,0.02965634,30.23988719,0.000278,0.0004
1,MS,11,blade,LeafElement1,0.019,0.41,106.46915,0.000244509,0.657947089,191.2436687,0.000771,0.0034
1,MS,11,internode,HiddenElement,0.003,0.21,0,0.035778304,0.025584933,62.44690959,0.000316,0.0004
1,MS,11,sheath,StemElement,0.004,0.34,18.4527,0.00048013,0.043239503,38.7827913,0.000275,0.0005
1,MS,12,blade,LeafElement1,0.025,0.6,432.9062,0.000373473,1.662023771,341.7915781,0.000969,0.00346
1,MS,12,internode,HiddenElement,0.003,0.34,0,0.036707359,0.026253729,65.26257305,0.000425,0.0004
1,MS,12,internode,StemElement,0.003,0.41,2.0503,0.001507622,0.00550214,13.29539881,8.60E-05,8.00E-05
1,MS,12,sheath,StemElement,0.004,0.52,100.31825,0.000239969,0.104969091,50.11983843,0.000597,0.0006
1,MS,13,peduncle,HiddenElement,0.003,0.52,0,0.047233807,0.033791017,43.63372878,0.000509,0.0005
1,MS,13,peduncle,StemElement,0.003,0.65,11.1302,0.000421115,0.02225309,23.75577713,0.000275,0.00027
1,MS,14,ear,StemElement,0.012,0.74,603.52045,0.00039442,0.945336169,240.6427665,0.001013,0.0015
